FECHA,M,S,C,#,PROVEEDOR,F VTA,RETIRO,DEPOSITO,SALDO,,,,
02/01/2026,G,,612,,EMISION DE CHEQUERA LIBRAMIENTO DE CHEQU,,"$1,460.00",,$526.71,"$1,986.71",,,
02/01/2026,G,,147,,IVA,,$233.60,,$293.11,,,,
02/01/2026,I,42,102,,TARJETALA PIEDAD ABASTOS,31/12/2025,,"$3,940.04","$4,233.15",,,,
02/01/2026,I,50,102,,VENTAS CANINDO TARJETA ,31-12-25,,"$7,274.80","$11,507.95",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,AA,,"$11,119.70","$22,627.65",,,,
02/01/2026,I,V,102,,VENTAS PADRE HIDALGO,AA,,"$3,082.59","$25,710.24",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,AA,,"$16,282.05","$41,992.29",,,,
02/01/2026,I,10,102,,TARJETA VTA PADRE HIDALGO,01//01/26,,"$9,951.69","$51,943.98",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,AA,,"$27,173.82","$79,117.80",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,AA,,"$19,794.23","$98,912.03",,,,
02/01/2026,I,50,102,,VENTAS CANINDO TARJETA ,31-12-25,,"$3,115.38","$102,027.41",,,,
02/01/2026,I,42,102,,TARJETALA PIEDAD ABASTOS,,,"$16,757.40","$118,784.81",,,,
02/01/2026,G,,612,,Comision,,$150.00,,"$118,634.81",,,,
02/01/2026,G,,147,,Iva,,$24.00,,"$118,610.81",,,,
02/01/2026,G,,612,,Comision,,$68.86,,"$118,541.95",,,,
02/01/2026,G,,147,,Iva,,$11.02,,"$118,530.93",,,,
02/01/2026,G,,612,,Comision,,$200.00,,"$118,330.93",,,,
02/01/2026,G,,147,,Iva,,$32.00,,"$118,298.93",,,,
02/01/2026,G,,612,,Comision,,$137.11,,"$118,161.82",,,,
02/01/2026,G,,147,,Iva,,$21.94,,"$118,139.88",,,,
02/01/2026,G,,612,,Comision,,$200.00,,"$117,939.88",,,,
02/01/2026,G,,147,,Iva,,$32.00,,"$117,907.88",,,,
02/01/2026,G,,612,,Comision,,$196.59,,"$117,711.29",,,,
02/01/2026,G,,147,,Iva,,$31.45,,"$117,679.84",,,,
02/01/2026,G,,612,,Comision,,$54.57,,"$117,625.27",,,,
02/01/2026,G,,147,,Iva,,$8.73,,"$117,616.54",,,,
02/01/2026,G,,612,,Comision,,$200.00,,"$117,416.54",,,,
02/01/2026,G,,147,,Iva,,$32.00,,"$117,384.54",,,,
02/01/2026,G,,612,,Comision,,$315.31,,"$117,069.23",,,,
02/01/2026,G,,147,,Iva,,$50.45,,"$117,018.78",,,,
02/01/2026,G,,612,,Comision,,$232.36,,"$116,786.42",,,,
02/01/2026,G,,147,,Iva,,$37.18,,"$116,749.24",,,,
02/01/2026,G,,612,,Comision,,$488.27,,"$116,260.97",,,,
02/01/2026,G,,147,,Iva,,$78.12,,"$116,182.85",,,,
02/01/2026,G,,612,,Comision,,$374.91,,"$115,807.94",,,,
02/01/2026,G,,147,,Iva,,$59.99,,"$115,747.95",,,,
02/01/2026,G,,612,,Comision,,$200.00,,"$115,547.95",,,,
02/01/2026,G,,147,,Iva,,$32.00,,"$115,515.95",,,,
02/01/2026,G,,612,,Comision,,$59.63,,"$115,456.32",,,,
02/01/2026,G,,147,,Iva,,$9.54,,"$115,446.78",,,,
02/01/2026,G,,612,,Comision,,$294.47,,"$115,152.31",,,,
02/01/2026,G,,147,,Iva,,$47.12,,"$115,105.19",,,,
02/01/2026,G,,612,,Comision,,$200.00,,"$114,905.19",,,,
02/01/2026,G,,147,,Iva,,$32.00,,"$114,873.19",,,,
02/01/2026,G,,612,1,Tdc American Express,,$9.00,,"$114,864.19",,,,
02/01/2026,I,,102,,Dep. Efectivo,,,$106.50,"$114,970.69",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,01/01/26,,"$34,776.00","$149,746.69",,,,
02/01/2026,G,40,610,2,Nomina 01,,"$35,088.80",,"$114,657.89",,,,
02/01/2026,G,42,610,3,Nomina 01,,"$18,889.60",,"$95,768.29",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,,,"$225,800.50","$321,568.79",,,,
02/01/2026,I,42,102,,VENTAS LA PIEDAD ABASTOS,31/12/2025,,"$110,943.00","$432,511.79",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,,,"$34,651.50","$467,163.29",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,,,$517.50,"$467,680.79",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,,,$47.00,"$467,727.79",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,,,"$23,988.00","$491,715.79",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,,,"$3,350.00","$495,065.79",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,,,"$9,918.00","$504,983.79",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,,,$401.00,"$505,384.79",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,,,"$4,030.00","$509,414.79",,,,
02/01/2026,I,42,102,,VENTAS LA PIEDAD ABASTOS,31/12/2025,,"$10,261.00","$519,675.79",,,,
02/01/2026,I,10,102,,VENTAS PADRE HIDALGO,,,"$3,836.00","$523,511.79",,,,
